股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中证1000,852,2021-01-04,6671.93,6798.76,6809.43,6662.8,183204774,227626020864.0,2.21,2.29,152.29,1.92
中证1000,852,2021-01-05,6785.52,6807.45,6827.5,6726.46,197247557,250731503616.0,1.49,0.13,8.69,2.07
中证1000,852,2021-01-06,6803.69,6724.95,6816.26,6686.13,179080174,234002444288.0,1.91,-1.21,-82.5,1.88
中证1000,852,2021-01-07,6708.72,6616.55,6709.07,6557.27,193680051,238048919552.0,2.26,-1.61,-108.4,2.03
中证1000,852,2021-01-08,6603.51,6585.36,6638.86,6514.18,161815951,208803741696.0,1.88,-0.47,-31.19,1.7
中证1000,852,2021-01-11,6579.64,6475.95,6584.22,6437.03,166706872,214024720384.0,2.24,-1.66,-109.41,1.75
中证1000,852,2021-01-12,6453.01,6564.74,6566.14,6433.22,140365271,187562418176.0,2.05,1.37,88.79,1.47
中证1000,852,2021-01-13,6567.6,6513.64,6567.6,6471.78,162127982,213667983360.0,1.46,-0.78,-51.1,1.7
中证1000,852,2021-01-14,6488.75,6506.83,6557.26,6414.74,147196836,199066140672.0,2.19,-0.1,-6.81,1.54
中证1000,852,2021-01-15,6496.91,6528.46,6539.17,6435.46,131954642,177611583488.0,1.59,0.33,21.63,1.38
中证1000,852,2021-01-18,6515.58,6652.1,6655.05,6511.0,137393155,185540403200.0,2.21,1.89,123.64,1.44
中证1000,852,2021-01-19,6647.95,6614.07,6677.41,6602.78,155029358,198089392128.0,1.12,-0.57,-38.03,1.62
中证1000,852,2021-01-20,6606.73,6671.45,6671.45,6584.88,130748780,171733987328.0,1.31,0.87,57.38,1.37
中证1000,852,2021-01-21,6670.18,6745.11,6770.87,6669.41,159360714,203918036992.0,1.52,1.1,73.66,1.67
中证1000,852,2021-01-22,6736.01,6721.92,6737.55,6671.29,158667994,210019024896.0,0.98,-0.34,-23.19,1.66
中证1000,852,2021-01-25,6710.8,6657.27,6728.45,6631.69,166133978,226714685440.0,1.44,-0.96,-64.65,1.74
中证1000,852,2021-01-26,6630.36,6534.1,6645.81,6525.38,142066314,195248484352.0,1.81,-1.85,-123.17,1.49
中证1000,852,2021-01-27,6519.45,6537.75,6552.43,6449.37,130789778,174269124608.0,1.58,0.06,3.65,1.37
中证1000,852,2021-01-28,6466.57,6399.13,6545.72,6395.76,132320842,166111944704.0,2.29,-2.12,-138.62,1.39
中证1000,852,2021-01-29,6438.61,6304.12,6459.34,6221.87,145546545,178522472448.0,3.71,-1.48,-95.01,1.52
中证1000,852,2021-02-01,6282.03,6345.81,6347.17,6280.37,131086848,155005222912.0,1.06,0.66,41.69,1.37
中证1000,852,2021-02-02,6351.66,6417.46,6419.03,6307.81,128040832,163105370112.0,1.75,1.13,71.65,1.34
中证1000,852,2021-02-03,6404.07,6307.39,6404.07,6306.09,131192545,168984846336.0,1.53,-1.72,-110.07,1.37
中证1000,852,2021-02-04,6277.97,6167.75,6295.7,6077.28,139596611,166461911040.0,3.46,-2.21,-139.64,1.46
中证1000,852,2021-02-05,6179.49,6045.3,6214.28,6044.61,119798218,146098528256.0,2.75,-1.99,-122.45,1.25
中证1000,852,2021-02-08,6056.91,6088.82,6122.32,6000.96,103575977,125072580608.0,2.01,0.72,43.52,1.09
中证1000,852,2021-02-09,6101.68,6254.01,6264.18,6097.09,111416852,136524984320.0,2.74,2.71,165.19,1.17
中证1000,852,2021-02-10,6265.41,6303.31,6316.79,6236.35,105447347,135598366720.0,1.29,0.79,49.3,1.1
中证1000,852,2021-02-18,6405.02,6404.59,6441.51,6363.2,139118774,172637700096.0,1.24,1.61,101.28,1.46
中证1000,852,2021-02-19,6395.58,6527.65,6527.9,6374.58,155493627,174247206912.0,2.39,1.92,123.06,1.63
