股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中证A500,510,2021-01-04,5917.32,6008.26,6020.26,5917.32,262102388,507869711782.0,1.74,1.66,97.94,0.81
中证A500,510,2021-01-05,5981.41,6104.18,6104.18,5981.41,281577570,548679537729.0,2.04,1.6,95.92,0.87
中证A500,510,2021-01-06,6125.57,6152.6,6162.23,6071.77,254920794,502661277560.0,1.48,0.79,48.42,0.79
中证A500,510,2021-01-07,6159.41,6250.9,6250.9,6152.86,290002244,539413846489.0,1.59,1.6,98.3,0.9
中证A500,510,2021-01-08,6268.63,6244.36,6268.63,6192.27,275694517,540902798537.0,1.22,-0.1,-6.54,0.85
中证A500,510,2021-01-11,6254.27,6183.55,6297.46,6152.24,300269271,594774055254.0,2.33,-0.97,-60.81,0.93
中证A500,510,2021-01-12,6160.57,6342.78,6342.78,6160.57,266058503,529292154642.0,2.95,2.58,159.23,0.82
中证A500,510,2021-01-13,6357.15,6316.86,6387.41,6271.07,327041308,621153281519.0,1.83,-0.41,-25.92,1.01
中证A500,510,2021-01-14,6288.34,6200.97,6288.34,6195.8,299955745,568304751302.0,1.46,-1.83,-115.89,0.93
中证A500,510,2021-01-15,6199.84,6193.47,6225.13,6115.34,270225311,514245694447.0,1.77,-0.12,-7.5,0.84
中证A500,510,2021-01-18,6171.17,6271.03,6286.0,6168.19,249235232,473933238609.0,1.9,1.25,77.56,0.77
中证A500,510,2021-01-19,6276.29,6172.69,6277.79,6149.33,254241290,482372652660.0,2.05,-1.57,-98.34,0.79
中证A500,510,2021-01-20,6180.98,6236.96,6251.58,6180.98,215987306,424378265437.0,1.14,1.04,64.27,0.67
中证A500,510,2021-01-21,6256.51,6338.65,6367.66,6256.51,262859000,511602318449.0,1.78,1.63,101.69,0.81
中证A500,510,2021-01-22,6335.68,6367.4,6371.67,6293.24,253399459,528821865365.0,1.24,0.45,28.75,0.78
中证A500,510,2021-01-25,6363.06,6417.91,6465.69,6343.54,258602217,593446749078.0,1.92,0.79,50.51,0.8
中证A500,510,2021-01-26,6386.64,6279.3,6386.64,6277.77,222392676,481447152470.0,1.7,-2.16,-138.61,0.69
中证A500,510,2021-01-27,6277.3,6300.5,6308.9,6217.62,215501459,437540454266.0,1.45,0.34,21.2,0.67
中证A500,510,2021-01-28,6207.4,6118.35,6227.22,6105.63,228772377,441336298200.0,1.93,-2.89,-182.15,0.71
中证A500,510,2021-01-29,6163.02,6078.87,6173.85,6007.75,235435476,450701280915.0,2.71,-0.65,-39.48,0.73
中证A500,510,2021-02-01,6083.29,6155.65,6158.16,6083.29,210722587,394481351746.0,1.23,1.26,76.78,0.65
中证A500,510,2021-02-02,6170.53,6250.85,6253.18,6141.74,215166599,438755661153.0,1.81,1.55,95.2,0.67
中证A500,510,2021-02-03,6255.77,6228.09,6288.96,6227.38,247638262,477917299622.0,0.99,-0.36,-22.76,0.77
中证A500,510,2021-02-04,6198.17,6213.22,6252.02,6144.96,233718157,458601808866.0,1.72,-0.24,-14.87,0.72
中证A500,510,2021-02-05,6238.31,6192.76,6274.4,6189.45,221422312,440863235008.0,1.37,-0.33,-20.46,0.68
中证A500,510,2021-02-08,6218.28,6305.53,6309.19,6201.81,197219627,409064530406.0,1.73,1.82,112.77,0.61
中证A500,510,2021-02-09,6330.98,6444.83,6444.83,6317.16,203894125,421972334513.0,2.02,2.21,139.3,0.63
中证A500,510,2021-02-10,6473.68,6577.13,6590.55,6473.68,207227716,452844603038.0,1.81,2.05,132.3,0.64
中证A500,510,2021-02-18,6712.15,6545.17,6712.15,6527.5,286435264,576319156668.0,2.81,-0.49,-31.96,0.89
中证A500,510,2021-02-19,6506.6,6558.11,6564.02,6433.26,291014615,528260178365.0,2.0,0.2,12.94,0.9
中证A500,510,2021-02-22,6570.9,6373.41,6570.9,6373.41,383308597,640200586956.0,3.01,-2.82,-184.7,1.19
中证A500,510,2021-02-23,6314.29,6350.44,6416.42,6314.29,320595143,501791657191.0,1.6,-0.36,-22.97,0.99
中证A500,510,2021-02-24,6364.36,6188.31,6364.36,6146.36,305306844,550156320088.0,3.43,-2.55,-162.13,0.94
中证A500,510,2021-02-25,6259.28,6208.01,6271.53,6191.3,287129727,465268732006.0,1.3,0.32,19.7,0.89
中证A500,510,2021-02-26,6062.05,6059.9,6139.32,6045.66,265056929,452585644341.0,1.51,-2.39,-148.11,0.82
中证A500,510,2021-03-01,6122.92,6175.4,6178.88,6092.48,248771991,420893705528.0,1.43,1.91,115.5,0.77
中证A500,510,2021-03-02,6216.91,6100.19,6216.91,6047.78,272083769,444474644080.0,2.74,-1.22,-75.21,0.84
中证A500,510,2021-03-03,6077.24,6208.99,6208.99,6075.13,263705756,392857739246.0,2.19,1.78,108.8,0.82
中证A500,510,2021-03-04,6138.32,6015.65,6138.32,5999.26,305174757,462573331136.0,2.24,-3.11,-193.34,0.94
中证A500,510,2021-03-05,5912.72,5988.56,6026.47,5907.97,265675938,394554659727.0,1.97,-0.45,-27.09,0.82
中证A500,510,2021-03-08,6032.27,5780.11,6046.73,5780.11,288469535,453472949892.0,4.45,-3.48,-208.45,0.89
中证A500,510,2021-03-09,5761.83,5655.17,5790.85,5585.07,316394925,478526244500.0,3.56,-2.16,-124.94,0.98
中证A500,510,2021-03-10,5747.46,5688.28,5747.46,5673.22,232998028,357886784449.0,1.31,0.59,33.11,0.72
中证A500,510,2021-03-11,5711.23,5833.9,5841.69,5707.13,258956585,385848161342.0,2.37,2.56,145.62,0.8
中证A500,510,2021-03-12,5866.63,5852.4,5866.63,5791.54,263995739,375020193256.0,1.29,0.32,18.5,0.82
中证A500,510,2021-03-15,5819.98,5728.33,5819.98,5682.24,268936992,380244288174.0,2.35,-2.12,-124.07,0.83
中证A500,510,2021-03-16,5749.22,5775.38,5778.9,5706.06,219435485,319793224929.0,1.27,0.82,47.05,0.68
中证A500,510,2021-03-17,5755.79,5803.25,5817.21,5707.78,202217982,307142009647.0,1.89,0.48,27.87,0.63
中证A500,510,2021-03-18,5819.61,5852.63,5860.09,5819.61,204168802,314212752350.0,0.7,0.85,49.38,0.63
中证A500,510,2021-03-19,5763.52,5699.52,5787.67,5670.68,219853301,335437419211.0,2.0,-2.62,-153.11,0.68
中证A500,510,2021-03-22,5703.01,5754.95,5771.17,5697.5,218572415,313570615671.0,1.29,0.97,55.43,0.68
中证A500,510,2021-03-23,5754.82,5686.2,5754.82,5646.62,214808903,307102933096.0,1.88,-1.19,-68.75,0.66
中证A500,510,2021-03-24,5657.76,5586.29,5697.26,5580.05,206367567,304615795828.0,2.06,-1.76,-99.91,0.64
中证A500,510,2021-03-25,5558.1,5592.3,5613.19,5547.42,177226676,259073415040.0,1.18,0.11,6.01,0.55
中证A500,510,2021-03-26,5621.77,5725.55,5740.02,5621.77,194722703,320955685746.0,2.11,2.38,133.25,0.6
中证A500,510,2021-03-29,5744.18,5734.19,5770.83,5705.24,198189996,313544291461.0,1.15,0.15,8.64,0.61
中证A500,510,2021-03-30,5728.72,5791.66,5799.31,5728.72,192043471,301601715238.0,1.23,1.0,57.47,0.59
中证A500,510,2021-03-31,5784.17,5747.41,5784.17,5711.99,186059735,282476158843.0,1.25,-0.76,-44.25,0.58
中证A500,510,2021-04-01,5760.86,5823.46,5826.97,5760.86,172310414,258708607372.0,1.15,1.32,76.05,0.53
中证A500,510,2021-04-02,5842.03,5874.1,5885.72,5829.75,173814350,292869645363.0,0.96,0.87,50.64,0.54
中证A500,510,2021-04-06,5893.14,5852.78,5893.14,5835.41,153688314,258105210675.0,0.98,-0.36,-21.32,0.48
中证A500,510,2021-04-07,5859.58,5819.23,5859.58,5768.15,212442523,298970879291.0,1.56,-0.57,-33.55,0.66
中证A500,510,2021-04-08,5792.94,5828.24,5847.74,5792.94,218522035,282980982837.0,0.94,0.15,9.01,0.68
中证A500,510,2021-04-09,5818.46,5747.94,5818.46,5735.26,192781053,271563104068.0,1.43,-1.38,-80.3,0.6
中证A500,510,2021-04-12,5740.91,5644.62,5755.0,5631.33,220914374,322795036476.0,2.15,-1.8,-103.32,0.68
中证A500,510,2021-04-13,5645.59,5637.59,5695.9,5621.09,188205045,267038922788.0,1.33,-0.12,-7.03,0.58
中证A500,510,2021-04-14,5648.99,5701.81,5707.19,5648.99,174261427,263951673796.0,1.03,1.14,64.22,0.54
中证A500,510,2021-04-15,5687.16,5666.88,5687.16,5613.63,161937397,254678438464.0,1.29,-0.61,-34.93,0.5
中证A500,510,2021-04-16,5685.85,5689.23,5700.64,5636.18,170153304,261906992917.0,1.14,0.39,22.35,0.53
中证A500,510,2021-04-19,5689.35,5832.82,5833.29,5689.35,211247964,363253484609.0,2.53,2.52,143.59,0.65
中证A500,510,2021-04-20,5808.78,5825.43,5862.51,5808.78,192435644,328730063296.0,0.92,-0.13,-7.39,0.6
中证A500,510,2021-04-21,5789.27,5832.46,5838.01,5781.29,170164730,280704244238.0,0.97,0.12,7.03,0.53
中证A500,510,2021-04-22,5853.3,5830.75,5853.3,5808.7,174383933,291583099223.0,0.76,-0.03,-1.71,0.54
